,Unnamed: 0,name,message
26180,26180,Jam Ryo,저거 반응하면 핵이지
26181,26181,DK L,/싱크
26182,26182,하동혁,/싱크조정
26183,26183,듕듕,ㅋㅋㅋㅋㅋㅋㅋ 아 젠지 lpl 되서 바르나 ㅋㅋㅋㅋㅋㅋ
26184,26184,DC LEE,트타가 근본임
26185,26185,HS,저건 쵸비가 궁으로 밀어줘야지 저걸 당해주네ㅋㅋ
26186,26186,숀라,오너 페이커가 더 좋아진거 같은데
26187,26187,하나비,ㅋㅋ선수들까는 채팅프사보면 다 잼민이에다가 고아네
26188,26188,파이리,싱크조정 ㅇㅈㄹ ㅋㅋㅋ
26189,26189,흘러가는대로,오너가 트리라면 트리인거다
26190,26190,청담맛집,/샹크스조절
26191,26191,불꽃남자이예준,싱크 2배속하면 맞음
26192,26192,DRX_leejaemyung,/월즈 모드on
26193,26193,박봉필,/싱크
26194,26194,안됭예약이안됭,/싱크조정
26195,26195,어 이,오너는 레전드다
26196,26196,오빠나오늘안전한날이야,ㅋㅋ저런 속도로차는데 어떻게피함 진짜 오너 개잘하네 ㄷㄷㄷㄷㄷ
26197,26197,이동현,와드플방호 미쳤네 ㄹㅇ
26198,26198,조말랑,와 T1은 잠시 놓치면 끝내버리는 듯 미친미친미친
26199,26199,기적,역시 중국한텐안져 ㅋㅋ
26200,26200,바른마음,싱크 와이러노
26201,26201,박인준,/싱크조정
26202,26202,네르네르Crea,딜레이 뭔데 진짜
26203,26203,ㅇㅇㅇ,대오너 
26204,26204,쓰윽,/싱크조정
26205,26205,yk9640,/싱크조정
26206,26206,무직백수,트리가 12년도때부터쓰던 근본이긴해
26207,26207,곰탱이,젠지는 중국어라 번역 힘듦
26208,26208,The dozing dog,스킨의 주인
26209,26209,은뚜,/싱크조정
26210,26210,대상혁,젠지같은 중국팀에 지지말자
26211,26211,김민기,세나 큰다
26212,26212,Catnip,트타
26213,26213,솔랭날먹장인,싱크 안맞으면 새로고침 ㄱㄱ 바로 해결됨
26214,26214,행복한집돌이,라칸 개못하네 ㅋㅋㅋ
26215,26215,최인렬,싱크로 소환 ㅇㅈㄹ ㅋㅋㅋ
26216,26216,박성준,T1 경기는 ㅇㅅㅇ 하는 사람 없어서 좋네
26217,26217,SG,f10 one
26218,26218,상배뮤직 입니다,/싱크조정
26219,26219,이채훈,/넣을게~
26220,26220,김성준,/싱크조정
26221,26221,gnay keosnuy,오너 페이커 둘이 사귐?
26222,26222,라마,케니언 취업사기ㅠㅠ
26223,26223,노란딱지,/싱크조정
26224,26224,장세혁,/싱크조정
26225,26225,하늘공원,/싱크조정
26226,26226,SARIKMA_IXA,괜찮아 젠지는 3용이야 
26227,26227,rockri,/지능조정
26228,26228,하위,도우너 잘하노
26229,26229,힘내유미,/대상혁모드
26230,26230,이성 조,/싱크조정
26231,26231,도른자tv,/싱크조정
26232,26232,안봐쏴,초시계 사라졌구나
26233,26233,이재준,교수님 지금 저걸 제 눈으로 믿으란 겁니까;;;
26234,26234,최헌조,/싱크조정
